"Mon, 2020-09-21 08:58:07 (EDT)",Delisted From
8i Enterprises Acquisition Corp,NASDAQ
9 Meters Biopharma,NASDAQ
Abraxas Petroleum Corporation,NASDAQ
Acasti Pharma,NASDAQ
Acorda Therapeutics,NASDAQ
Advaxis,NASDAQ
Aeterna Zentaris Inc.,NASDAQ
AirNet Technology Inc.,NASDAQ
Alberton Acquisition Corporation,NASDAQ
ALJ Regional Holdings,NASDAQ
Amyris,NASDAQ
Apex Global Brands Inc.,NASDAQ
Aqua Metals,NASDAQ
Assertio Holdings,NASDAQ
Astrotech Corporation,NASDAQ
Avinger,NASDAQ
AzurRx BioPharma,NASDAQ
Biocept,NASDAQ
BIO-key International,NASDAQ
Biolase,NASDAQ
Bionano Genomics,NASDAQ
BOQI International Medical Inc.,NASDAQ
Borqs Technologies,NASDAQ
Brickell Biotech,NASDAQ
Castor Maritime Inc.,NASDAQ
CBAK Energy Technology,NASDAQ
Centennial Resource Development,NASDAQ
CF Finance Acquisition Corp.,NASDAQ
Charles & Colvard Ltd.,NASDAQ
Check-Cap Ltd.,NASDAQ
CHF Solutions,NASDAQ
China HGS Real Estate,NASDAQ
China SXT Pharmaceuticals,NASDAQ
ClearSign Technologies Corporation,NASDAQ
Conformis,NASDAQ
Datasea Inc.,NASDAQ
DAVIDsTEA Inc.,NASDAQ
Destination XL Group,NASDAQ
Dolphin Entertainment,NASDAQ
Dynatronics Corporation,NASDAQ
Eastside Distilling,NASDAQ
ENDRA Life Sciences Inc.,NASDAQ
Energy Focus,NASDAQ
Exela Technologies,NASDAQ
EyePoint Pharmaceuticals,NASDAQ
Farmmi,NASDAQ
Ferroglobe PLC,NASDAQ
Focus Financial Partners Inc.,NASDAQ
Fuel Tech,NASDAQ
Globus Maritime Limited,NASDAQ
Gridsum Holding Inc.,NASDAQ
Guardion Health Sciences,NASDAQ
Hallador Energy Company,NASDAQ
Hancock Jaffe Laboratories,NASDAQ
Helius Medical Technologies,NASDAQ
HTG Molecular Diagnostics,NASDAQ
Hudson Capital Inc.,NASDAQ
Iconix Brand Group,NASDAQ
Insignia Systems,NASDAQ
Intec Pharma Ltd.,NASDAQ
Integrated Media Technology Limited,NASDAQ
Interpace Biosciences,NASDAQ
Iterum Therapeutics plc,NASDAQ
Jaguar Health,NASDAQ
JAKKS Pacific,NASDAQ
Kaixin Auto Holdings,NASDAQ
Kaspien Holdings Inc.,NASDAQ
KBL Merger Corp. IV,NASDAQ
Lianluo Smart Limited,NASDAQ
Lonestar Resources US Inc.,NASDAQ
Longevity Acquisition Corporation,NASDAQ
Luokung Technology Corp,NASDAQ
Mereo BioPharma Group plc,NASDAQ
Nabriva Therapeutics plc,NASDAQ
Naked Brand Group Limited,NASDAQ
NanoVibronix,NASDAQ
National Holdings Corporation,NASDAQ
Navios Maritime Containers L.P.,NASDAQ
NCS Multistage Holdings,NASDAQ
Neos Therapeutics,NASDAQ
Novan,NASDAQ
Novus Therapeutics,NASDAQ
NXT-ID Inc.,NASDAQ
Oasis Petroleum Inc.,NASDAQ
Obalon Therapeutics,NASDAQ
Ocugen,NASDAQ
Orbital Energy Group,NASDAQ
Pareteum Corporation,NASDAQ
Performance Shipping Inc.,NASDAQ
Performant Financial Corporation,NASDAQ
PLx Pharma Inc.,NASDAQ
Principal Exchange-Traded Funds,NASDAQ
Profire Energy,NASDAQ
Pyxis Tankers Inc.,NASDAQ
Rave Restaurant Group,NASDAQ
Regulus Therapeutics Inc.,NASDAQ
ReTo Eco-Solutions,NASDAQ
RiceBran Technologies,NASDAQ
Second Sight Medical Products,NASDAQ
SemiLEDS Corporation,NASDAQ
Seneca Biopharma,NASDAQ
Senmiao Technology Limited,NASDAQ
Sonim Technologies,NASDAQ
SPAR Group,NASDAQ
Sphere 3D Corp.,NASDAQ
SPI Energy Co.,NASDAQ
Staffing 360 Solutions,NASDAQ
Steel Connect,NASDAQ
Sterling Bancorp,NASDAQ
Sundial Growers Inc.,NASDAQ
SuperCom,NASDAQ
Superconductor Technologies Inc.,NASDAQ
Teligent,NASDAQ
Tellurian Inc.,NASDAQ
The Dixie Group,NASDAQ
The Peck Company Holdings,NASDAQ
The RealReal,NASDAQ
The9 Limited,NASDAQ
Titan Medical Inc.,NASDAQ
Titan Pharmaceuticals,NASDAQ
Torchlight Energy Resources,NASDAQ
ToughBuilt Industries,NASDAQ
Town Sports International Holdings,NASDAQ
TransGlobe Energy Corporation,NASDAQ
U.S. Well Services,NASDAQ
Verra Mobility Corporation,NASDAQ
Vertex Energy,NASDAQ
VistaGen Therapeutics,NASDAQ
Viveve Medical,NASDAQ
Wins Finance Holdings Inc.,NASDAQ
Xcel Brands,NASDAQ
Yatra Online,NASDAQ
Youngevity International,NASDAQ
